ABC19980108.1830.0711	0	root	ROOT	0	turning	8
ABC19980108.1830.0711	0	case	hand	4	On	1
ABC19980108.1830.0711	0	det	hand	4	the	2
ABC19980108.1830.0711	0	amod	hand	4	other	3
ABC19980108.1830.0711	0	nmod:on	turning	8	hand	4
ABC19980108.1830.0711	0	punct	turning	8	,	5
ABC19980108.1830.0711	0	nsubj	turning	8	it	6
ABC19980108.1830.0711	0	aux	turning	8	's	7
ABC19980108.1830.0711	0	compound:prt	turning	8	out	9
ABC19980108.1830.0711	0	mark	week	16	to	10
ABC19980108.1830.0711	0	cop	week	16	be	11
ABC19980108.1830.0711	0	det	week	16	another	12
ABC19980108.1830.0711	0	advmod	bad	14	very	13
ABC19980108.1830.0711	0	amod	week	16	bad	14
ABC19980108.1830.0711	0	amod	week	16	financial	15
ABC19980108.1830.0711	0	xcomp	turning	8	week	16
ABC19980108.1830.0711	0	case	Asia	18	for	17
ABC19980108.1830.0711	0	nmod:for	week	16	Asia	18
ABC19980108.1830.0711	0	punct	turning	8	.	19
ABC19980108.1830.0711	1	root	ROOT	0	helping	15
ABC19980108.1830.0711	1	det	assistance	3	The	1
ABC19980108.1830.0711	1	amod	assistance	3	financial	2
ABC19980108.1830.0711	1	nsubj	helping	15	assistance	3
ABC19980108.1830.0711	1	case	Bank	7	from	4
ABC19980108.1830.0711	1	det	Bank	7	the	5
ABC19980108.1830.0711	1	compound	Bank	7	World	6
ABC19980108.1830.0711	1	nmod:from	assistance	3	Bank	7
ABC19980108.1830.0711	1	cc	Bank	7	and	8
ABC19980108.1830.0711	1	det	Fund	12	the	9
ABC19980108.1830.0711	1	compound	Fund	12	International	10
ABC19980108.1830.0711	1	compound	Fund	12	Monetary	11
ABC19980108.1830.0711	1	nmod:from	assistance	3	Fund	12
ABC19980108.1830.0711	1	conj:and	Bank	7	Fund	12
ABC19980108.1830.0711	1	aux	helping	15	are	13
ABC19980108.1830.0711	1	neg	helping	15	not	14
ABC19980108.1830.0711	1	punct	helping	15	.	16
